symbol_index,normalized_pam4_symbol,tx_center_sample_v,channel_center_sample_v,afe_center_sample_v
3743,-1.0,-0.15135851998436262,0.0004196084900498925,-0.023552802851772657
3768,1.0,0.1484708457308765,0.10140259109084794,0.2373299904677568
3794,-3.0,-0.44438978365397436,0.0006275613776101888,-0.11309979534239614
3820,1.0,0.1498294897100167,-0.08430450635470552,-0.04356068299334675
3845,3.0,0.4479594568812328,0.022026797334491668,0.20501618476461314
3871,1.0,0.1467713323234296,0.03608682511436612,0.12064948607386036
3897,1.0,0.14847095748735972,0.06836660384354934,0.19710341172251655
3922,-1.0,-0.14965889642699642,0.043294486391435266,0.03911715817012511
3948,-3.0,-0.4460892658609682,0.08465597622529632,-0.015138574555132225
3974,3.0,0.4449013486108748,0.1351679476068557,0.39684367865499104
3999,3.0,0.4460891642045776,-0.06221314004329653,0.05534387153422335
4025,3.0,0.44643027820493997,0.13526900821097837,0.35148225743230666
4050,1.0,0.1513585109065877,-0.06407773081894552,-0.01921992658158535
4076,-3.0,-0.4447306378886555,-0.051231339248795346,-0.23010819423492218
4102,1.0,0.15187006499726918,0.06386366319023531,0.2043823952402939
4127,3.0,0.44660102425183273,0.1328642049981396,0.3771971079627453
4153,1.0,0.15017053002469888,0.09449410948135883,0.2262262996507647
4179,3.0,0.4483004815147037,0.10026089199722368,0.3721508826134382
4204,-3.0,-0.44948865062029714,-0.13229418403686882,-0.3287719161255524
4230,-3.0,-0.44965890573039513,-0.11284815985174683,-0.3203022716524865
4256,-1.0,-0.15169964028318011,-0.15533162647196133,-0.28222599118602004
4281,3.0,0.44473083900036925,0.0036360835842592478,0.18990436567316682
4307,3.0,0.4481300091280978,0.04727715574739856,0.2700195022830367
4333,3.0,0.44830048361786357,0.0368220662643409,0.2789878586846326
4358,1.0,0.15169952153534708,0.028312157470453264,0.1069619986841309
4384,-1.0,-0.15169965947237496,-0.1254633148828465,-0.27857708068308484
4409,1.0,0.14795925247366992,-0.1613327239892126,-0.19513992954616882
4435,1.0,0.15135849675945773,0.047353437730400516,0.06903799036381084
4461,-3.0,-0.44965882547697056,-0.05222884535179125,-0.2625524477855908
4486,-3.0,-0.4494883379135318,-0.06479112978733367,-0.24359188260137649
4512,-3.0,-0.44982946436694893,-0.13320052428951368,-0.37237971169954853
4538,-1.0,-0.14643026492817796,0.0293965374833733,0.005796570867115387
4563,1.0,0.14643036189478897,0.04184256490425493,0.08231475254902315
4589,1.0,0.1518701501859701,0.1349181817513961,0.2858019857448948
4615,-3.0,-0.4481298608504525,-0.04795125452907466,-0.2756634890616972
4640,-1.0,-0.14999998872273915,0.08001495922041449,0.010046807433516528
4666,-1.0,-0.14795940177315647,0.11166744193751486,0.12165710320863522
4691,1.0,0.1464303718359444,-0.06652530662492373,-0.0510097000779732
4717,-1.0,-0.1496591063910476,-0.020092084346174884,-0.04493223690932538
4743,-3.0,-0.4464302845331153,-0.02367238009344609,-0.21358411246419814
4768,-1.0,-0.14965891467475528,0.0828130341390392,0.06911751194061572
4794,3.0,0.44660079870792324,0.08707728541091503,0.3347010191428619
4820,-3.0,-0.44490126080075365,-0.01755811844731385,-0.24357617426564865
4845,3.0,0.4445601476173162,-0.06955693327906717,0.048731668378109494
4871,3.0,0.4477889220544166,0.016640137218142753,0.16037729735597728
4897,1.0,0.15135855721914865,0.034379209980111125,0.06673082765522725
4922,-3.0,-0.4499999758800038,-0.14732789599265783,-0.4265875755352937
4948,-1.0,-0.15169938801857993,0.021676512737441398,-0.0644141655910958
4974,-1.0,-0.14677126810337732,-0.08024818893808275,-0.1828822355115489
4999,-1.0,-0.14847088769435696,-0.07281834208825974,-0.198080771023042
5025,-1.0,-0.14643020731745537,0.05150500542101492,0.02269344328156305
5050,1.0,0.15169961618340372,0.09553440848871149,0.20078725325371688
5076,1.0,0.15135869380943995,0.016432909239951075,0.04982315294320917
5102,-1.0,-0.15187013612637265,-0.08890768447917999,-0.256704558793554
5127,3.0,0.4477888051838811,0.017624483776729403,0.1543945767156129
5153,-1.0,-0.1501705199246984,-0.05672457793981146,-0.1850188371089428
5179,-1.0,-0.1515291719144524,-0.11972785913739353,-0.21758677319993286
5204,-3.0,-0.4477888774306046,-0.058608440543330115,-0.20375951542125825
5230,3.0,0.44812989017896,0.06453740172729402,0.28280123351072445
5256,3.0,0.4481297560541705,0.05923906666345183,0.287354673772287
5281,-3.0,-0.44965889395901604,-0.11015371869402553,-0.32273366969743555
5307,-3.0,-0.44778866399498385,0.04456276055742013,-0.10233733724808718
5333,3.0,0.44795946524355557,0.07290858935756486,0.2550777960266039
5358,-3.0,-0.4479594712621008,-0.06589331535848056,-0.26619145163235536
5384,3.0,0.4464301592161881,-0.021104217035070344,0.16347856979988717
5409,-1.0,-0.15135849833050746,0.043983192133384266,0.01781170138590177
5435,3.0,0.4466009530008552,0.067093264109086,0.30071450400785027
5461,1.0,0.14982935443657852,-0.015136648281131267,0.023733487784326674
5486,-3.0,-0.4479594394827584,-0.12217451848954453,-0.326879263304468
5512,3.0,0.44830034838146904,0.025160432221100742,0.26309728952395284
5538,1.0,0.14830025200953817,0.006962007901933834,0.07983260871260482
5563,1.0,0.14625979763340868,-0.13310292908414242,-0.14572123067311693
5589,-3.0,-0.4447306300835595,-0.03260994973780895,-0.22749002070173457
5615,-1.0,-0.14643023078221998,-0.03561585757686178,-0.08231635524367235
5640,3.0,0.44625974365947496,0.08566336282332099,0.25899668772624806
5666,3.0,0.4464302027166632,0.009015555545093654,0.20496455751701875
5691,1.0,0.1467713350025936,0.0988330956735986,0.20276612480358375
5717,3.0,0.4477887047041575,-0.012589226012653706,0.1262320007668029
5743,1.0,0.15000013138286195,0.12309412814744167,0.2581827028616742
5768,-3.0,-0.44778885071509733,0.009548635218033372,-0.14473177105527338
5794,3.0,0.4449011468443588,0.04367080119620599,0.2702831008501873
5820,3.0,0.44473073278212827,0.0324852865258939,0.20403582433905992
5845,3.0,0.4479594382155502,0.05476558078488834,0.25745170790966027
5871,-3.0,-0.44965895690266255,-0.00936478677457337,-0.2027741823390648
5897,3.0,0.45000006290121075,0.14771436335545457,0.43856103393504403
5922,-3.0,-0.44490146291129073,-0.15456801060602016,-0.3975426523698954
5948,1.0,0.1464302124073772,-0.058181359309703695,-0.057263876515313575
5974,1.0,0.14847096242879584,0.002134676188085851,0.10740585594799368
5999,1.0,0.14795948128815856,-0.08849973403204775,-0.11054219111748145
6025,-3.0,-0.4462596863064813,-0.03889734453273399,-0.22440266922688695
6050,3.0,0.44438963504509393,-0.03736395222243181,0.05747641478151075
6076,3.0,0.4466007826880716,0.09535633716515518,0.3453665991360665
6102,3.0,0.4496590669483521,0.16458756715498107,0.3835430663167068
