relative_symbol_index,noiseless_adc_input_v,afe_noise_v,additional_adc_noise_v,aperture_jitter_s,signal_slope_v_per_s,jitter_voltage_error_v,impaired_adc_input_v,adc_output_code_unsigned,adc_clipped
2126,-0.045990434417755105,0.005842220826481819,-0.00027597106960655616,-7.115387618553497e-14,1565985554.3253508,-0.00011142594224080236,-0.04053561060312064,25,False
2127,0.004132840510132581,-0.0037319459957753653,0.00017708792532634222,3.1043482006273525e-13,-1217615853.7512136,-0.00037799035846479174,0.00019999208121876562,32,False
2128,-0.04035736668143129,0.0051867182666702726,0.00030736694287587167,-8.170577686925298e-14,1512034700.4204812,-0.0001235419698511236,-0.03498682344173627,26,False
2129,0.018652206091644065,0.0020407326670361884,0.0011917775997055922,2.5277871243368315e-13,443478757.345058,0.00011210198927337358,0.02199681834765922,35,False
2130,-0.018765684646473234,0.003440359551544281,-0.0003150193755607718,-1.2969211887183926e-13,-2165470443.248267,0.0002808444501392087,-0.015359500020350516,29,False
2131,-0.04760896075385053,0.004424447799014058,0.0004243543905879935,1.2699523995273968e-14,-2072585565.04042,-2.632085011548927e-05,-0.04278647941436397,25,False
2132,-0.05881055578894812,-0.0011651225790561622,-0.0007118495545232616,1.1112281643341496e-13,3523884000.844944,0.0003915839149585406,-0.060295944007569005,22,False
2133,0.0266346750968731,-0.005118703555474638,0.0007550775773340879,-1.2491683073030212e-13,2411462146.817158,-0.0003012322088064899,0.02196981690992606,35,False
2134,0.01821033221410195,0.0009413302398770126,0.00043534030543786943,1.0981896091621344e-13,-2317483888.184932,-0.0002545036725405354,0.019332499086876297,35,False
2135,-0.022707852104498636,-0.0012149573607273343,-0.0001797160129949848,9.328904604361461e-14,-1477856198.5721877,-0.00013786779495444208,-0.024240393273175398,28,False
2136,-0.03552466458129374,0.002015520737115559,-3.06672759549865e-06,-2.180508037459854e-14,-270209908.23548144,5.891948767087569e-06,-0.03350631862300659,26,False
2137,-0.02876540412801239,0.002629419672299917,-0.0016759466922417145,2.438028021079598e-13,1616319682.7862465,0.00039406326776553565,-0.027417867880188653,27,False
2138,0.01656722501569303,0.005581390875738444,-0.000941082658362717,1.062657995315785e-13,3167646513.11231,0.0003366124893492964,0.021544145722418057,35,False
2139,0.03816233900283707,-0.003505913868998496,-0.00017282812635887015,-1.7344748873032046e-13,-3264435285.289981,0.0005662081023561944,0.035049805109835894,37,False
2140,-0.024801428737850677,-0.0025872211802549917,-0.0003961319104740859,-1.6303666601504402e-14,1163809045.66761,-1.8974354668379723e-05,-0.027803756183248134,27,False
2141,0.050567502489089255,0.005525636908978614,0.00017943921426174643,-2.558003827633268e-13,3791715846.155707,-0.0009699223647764013,0.05530265624755321,40,False
2142,0.07653762235928434,0.0008522513235390353,-0.0005430891451886484,1.6006483192184394e-13,-854037591.7586988,-0.0001367013835797925,0.07671008315405493,44,False
2143,0.04953147254223403,0.003321700101648736,0.0003729058550710061,-2.5103506175426246e-14,-1119634491.331069,2.8106751367349715e-05,0.05325418525032112,40,False
2144,0.03148412539594377,0.004063068582219619,-4.155611562106783e-06,-3.388212029232414e-14,-1805794371.771127,6.118414212755123e-05,0.035604222508728835,37,False
2145,-0.005776975409872552,-0.001947965637999597,0.0005826858162187405,6.814819885049341e-14,-1517719679.9629045,-0.00010342986254941923,-0.007245685094202828,30,False
2146,-0.02041408571396234,-0.0007759886210630332,0.0019954852848064622,4.769366583267102e-15,-399834048.5846084,-1.906955150171826e-06,-0.01919649600536908,28,False
2147,-0.02556693486913531,0.004537790065641734,0.001424237227391646,-1.4011716822355487e-13,-216459112.45346096,3.032963787316297e-05,-0.019574577938228765,28,False
2148,-0.009590716350210861,-0.004247076599126138,0.001374346456936814,-7.842499265554839e-14,3253171469.7891874,-0.0002551299486254566,-0.012718576441025642,29,False
2149,0.03262318164993023,-0.005547061490506197,-0.0008660629310422513,-8.281027614596853e-14,-2235912284.0459695,0.00018515651368000995,0.02639521374206179,36,False
2150,-0.04178971351902019,0.006178574772203752,-0.0014517556953579395,-2.1637899440686146e-13,-2201744387.9295735,0.0004764112366011518,-0.03658648320557322,26,False
2151,-0.04101680766898505,0.00035640918216370667,0.000692207317811533,-2.0261889607734959e-13,683739008.2961432,-0.0001385384430659863,-0.0401067296120758,25,False
2152,-0.016469125549566532,0.003938528005255668,-0.00118854067978138,1.275123291500427e-13,3458026666.2887464,0.0004409410344814355,-0.013278197189610808,29,False
2153,0.05709928197647921,0.001478833753724031,-0.0011228243143315074,-1.0250587122656742e-13,3004804478.8627753,-0.00030801010097132066,0.05714728131490041,41,False
2154,0.06645931065804324,-0.0015600441481568351,0.0007742025678739161,-1.770375756707167e-13,-2677950946.2610636,0.0004740979432911604,0.06614756702105148,42,False
2155,0.0017115490970543567,0.0009136062793883488,0.0013701006364903589,-5.008557459237863e-14,-2657585127.232668,0.00013310667812560785,0.004128362691058672,32,False
2156,-0.02156861978320169,0.0022952044338484623,0.00039560062696794535,-2.0874797778955556e-13,-478421312.4896112,9.986948151363138e-05,-0.018777945240871653,28,False
2157,-0.00716182017544869,0.0019607910964590113,0.000584332140150897,1.3878710723705788e-13,3258042946.703233,0.0004521743558270416,-0.00416452258301174,31,False
2158,0.0644308668914833,-0.001901060072301581,-0.0013134078942504432,-3.833427081354982e-13,2924311981.90439,-0.0011210136745763149,0.06009538525035495,41,False
2159,0.06277824640009598,-0.0022061559317215975,-0.00039850056960648615,-8.8280405228795e-14,-4462590681.295394,0.0003939593137150017,0.0605675492124829,41,False
2160,-0.03051929091914937,-0.0017748913975692278,-0.0001976214136771465,-4.007616337736676e-14,-2522009484.35046,0.00010107246413409754,-0.032390731266261644,26,False
2161,-0.022600602820597726,-6.71388629269111e-05,-0.0005649262695620301,-1.0639479350963843e-13,2321301981.2106304,-0.0002469744449644196,-0.023479642398051087,28,False
