afe_output_relative_time_ui,afe_output_pulse_v_per_pam_unit
-685.125,3.0968645213089783e-07
-685.0,3.0956593551048056e-07
-684.875,3.0944548517818083e-07
-684.75,3.09325101071513e-07
-684.625,3.0920478312786055e-07
-684.5000000000001,3.0908453128468993e-07
-684.375,3.089643454797436e-07
-684.25,3.0884422565068465e-07
-684.125,3.0872417173552706e-07
-683.9999999999999,3.0860418367195005e-07
-683.875,3.084842613978896e-07
-683.75,3.08364404851129e-07
-683.625,3.0824461396950683e-07
-683.5,3.0812488869109776e-07
-683.375,3.0800522895376563e-07
-683.25,3.078856346959883e-07
-683.1250000000001,3.077661058557656e-07
-683.0,3.0764664237172917e-07
-682.875,3.0752724418240024e-07
-682.7499999999999,3.0740791122648334e-07
-682.625,3.072886434425719e-07
-682.5,3.0716944076951863e-07
-682.375,3.070503031464292e-07
-682.25,3.069312305120214e-07
-682.125,3.0681222280540847e-07
-682.0,3.066932799655886e-07
-681.875,3.0657440193171433e-07
-681.7500000000001,3.064555886428898e-07
-681.625,3.0633684003860284e-07
-681.5,3.062181560581341e-07
-681.3749999999999,3.060995366408905e-07
-681.25,3.05980981726329e-07
-681.125,3.0586249125428516e-07
-681.0,3.0574406516404356e-07
-680.875,3.056257033955511e-07
-680.75,3.055074058884122e-07
-680.625,3.053891725826791e-07
-680.5,3.0527100341799844e-07
-680.375,3.051528983342973e-07
-680.25,3.0503485727173486e-07
-680.125,3.049168801701262e-07
-679.9999999999999,3.0479896697016616e-07
-679.875,3.046811176118439e-07
-679.75,3.045633320357904e-07
-679.625,3.044456101823875e-07
-679.5,3.043279519925602e-07
-679.375,3.0421035740713927e-07
-679.25,3.040928263668767e-07
-679.125,3.039753588127605e-07
-679.0,3.03857954685632e-07
-678.875,3.037406139265645e-07
-678.75,3.036233364765004e-07
-678.6249999999999,3.035061222763413e-07
-678.5,3.033889712673368e-07
-678.375,3.0327188339036036e-07
-678.25,3.031548585867941e-07
-678.125,3.0303789679782233e-07
-678.0,3.029209979649941e-07
-677.875,3.0280416202958426e-07
-677.75,3.026873889334574e-07
-677.625,3.025706786182895e-07
-677.5,3.024540310258714e-07
-677.375,3.0233744609817397e-07
-677.2499999999999,3.0222092377701247e-07
-677.125,3.0210446400466507e-07
