symbol_index,normalized_pam4_symbol,pre_vga_ctle_output_v,adc_analog_input_v,adc_output_code_unsigned,adc_reconstructed_voltage_v,adc_total_conversion_error_v,clipped_low,clipped_high,clipped
1768,3.0,0.2643143098714821,0.05723501005819587,41,0.05937500000000001,0.0021399899418041435,False,False,False
1794,-3.0,-0.431869510842967,-0.0935176601257194,17,-0.09062500000000001,0.0028926601257193846,False,False,False
1820,3.0,0.3327283718524504,0.07204949182994211,43,0.07187500000000002,-0.00017449182994208612,False,False,False
1845,3.0,0.01836843528854579,0.0039775280385099835,32,0.003124999999999989,-0.0008525280385099946,False,False,False
1871,-3.0,-0.2922006129292759,-0.06327355120556993,21,-0.06562500000000002,-0.0023514487944300833,False,False,False
1897,3.0,0.24082400093445983,0.05214838395409153,40,0.05312499999999998,0.0009766160459084502,False,False,False
1922,1.0,0.06857498881705781,0.014849329105917037,34,0.015625,0.000775670894082963,False,False,False
1948,1.0,0.21851565305014664,0.04731770143765411,39,0.046875,-0.0004427014376541111,False,False,False
1974,3.0,0.1419318278970713,0.030734127112591367,36,0.02812500000000001,-0.0026091271125913557,False,False,False
1999,-3.0,-0.17461064108409874,-0.03781044546387116,25,-0.040624999999999994,-0.0028145545361288327,False,False,False
2025,-3.0,-0.32472063397398054,-0.07031548447241207,20,-0.071875,-0.001559515527587929,False,False,False
2050,1.0,0.010287194526828348,0.0022276042583540562,32,0.003124999999999989,0.0008973957416459327,False,False,False
2076,-3.0,-0.23470291772472096,-0.05082291557802518,23,-0.053125000000000006,-0.002302084421974826,False,False,False
2102,-3.0,-0.2091010767435466,-0.04527905521428501,24,-0.046875,-0.001595944785714988,False,False,False
2127,3.0,0.2364121190179237,0.05119302854412036,40,0.05312499999999998,0.0019319714558796164,False,False,False
2153,3.0,0.2504261941226975,0.05422765701341528,40,0.05312499999999998,-0.0011026570134153035,False,False,False
2179,-3.0,-0.32034689680534356,-0.06936838898234737,20,-0.071875,-0.0025066110176526213,False,False,False
