tx_relative_time_ui,tx_pulse_v_per_pam_unit,channel_relative_time_ui,channel_pulse_v_per_pam_unit
420.25,3.3324299088312225e-15,389.9999999999999,1.1891382717921665e-05
420.375,-3.3293814518092827e-15,390.1249999999999,1.1887349847263973e-05
420.5,3.3264688478627447e-15,390.2499999999999,1.1883320348104924e-05
420.625,-3.3234129881901842e-15,390.37499999999983,1.1879294216648612e-05
420.75000000000017,3.320463873767399e-15,390.5,1.1875271449104696e-05
420.8750000000001,-3.3172986075729538e-15,390.625,1.187125204168831e-05
421.0000000000001,3.314567564454297e-15,390.75,1.1867235990620115e-05
421.1250000000001,-3.3111783184334463e-15,390.87499999999994,1.18632232921263e-05
421.25000000000006,3.3085941314987166e-15,390.99999999999994,1.1859213942438534e-05
421.37500000000006,-3.3053110190818612e-15,391.12499999999994,1.1855207937793966e-05
421.50000000000006,3.302515729202234e-15,391.2499999999999,1.1851205274435327e-05
421.625,-3.2992454232856106e-15,391.3749999999999,1.184720594861062e-05
421.75,3.2964845712374185e-15,391.4999999999999,1.184320995657346e-05
421.875,-3.293475519146858e-15,391.6249999999999,1.18392172945829e-05
422.00000000000017,3.290447289336015e-15,391.75000000000006,1.1835227958903442e-05
422.1250000000001,-3.2874448559033384e-15,391.875,1.1831241945804987e-05
422.2500000000001,3.284563768480591e-15,392.0,1.1827259251562894e-05
422.3750000000001,-3.2814661567219366e-15,392.125,1.1823279872457895e-05
422.5000000000001,3.2785953555188738e-15,392.24999999999994,1.1819303804776095e-05
422.62500000000006,-3.2756020946281935e-15,392.37499999999994,1.1815331044809139e-05
422.75000000000006,3.272743396194267e-15,392.49999999999994,1.1811361588853974e-05
422.87500000000006,-3.2695603368323008e-15,392.6249999999999,1.1807395433212881e-05
423.0,3.2668200766129465e-15,392.7499999999999,1.1803432574193552e-05
423.125,-3.2638312145304694e-15,392.8749999999999,1.1799473008108957e-05
423.25,3.260829426819697e-15,392.9999999999999,1.1795516731277494e-05
423.37500000000017,-3.2577587457902715e-15,393.125,1.1791563740022889e-05
423.5000000000001,3.2549119828215783e-15,393.25,1.1787614030674103e-05
423.6250000000001,-3.2521311024598064e-15,393.375,1.1783667599565548e-05
423.7500000000001,3.24884448566676e-15,393.5,1.1779724443036784e-05
423.8750000000001,-3.2463270771602875e-15,393.62499999999994,1.1775784557432851e-05
424.00000000000006,3.242997692893357e-15,393.74999999999994,1.1771847939103902e-05
424.12500000000006,-3.2403877971689523e-15,393.87499999999994,1.1767914584405489e-05
424.25000000000006,3.2372531739405607e-15,393.9999999999999,1.1763984489698431e-05
424.375,-3.2347429007111775e-15,394.1249999999999,1.1760057651348694e-05
424.5,3.2313439619643306e-15,394.2499999999999,1.1756134065727677e-05
424.625,-3.2288302499671838e-15,394.37499999999983,1.1752213729211884e-05
424.75000000000017,3.225691181225742e-15,394.5,1.1748296638183104e-05
424.8750000000001,-3.2229925606056928e-15,394.625,1.1744382789028307e-05
425.0000000000001,3.2196780513485493e-15,394.75,1.1740472178139745e-05
425.1250000000001,-3.2173948194593604e-15,394.875,1.1736564801914845e-05
425.2500000000001,3.213866996417769e-15,394.99999999999994,1.173266065675622e-05
425.37500000000006,-3.211489624944269e-15,395.12499999999994,1.1728759739071706e-05
425.50000000000006,3.208352926019787e-15,395.24999999999994,1.1724862045274307e-05
425.62500000000006,-3.205385139429557e-15,395.3749999999999,1.1720967571782142e-05
425.75,3.2026395745340534e-15,395.4999999999999,1.1717076315018596e-05
425.875,-3.1997150450455413e-15,395.6249999999999,1.1713188271412113e-05
426.0,3.1970026342898165e-15,395.74999999999983,1.1709303437396372e-05
426.12500000000017,-3.193839609172897e-15,395.875,1.1705421809410123e-05
426.2500000000001,3.19114382089019e-15,396.0,1.1701543383897252e-05
426.3750000000001,-3.188204689162291e-15,396.125,1.1697668157306767e-05
426.5000000000001,3.185389495808571e-15,396.24999999999994,1.1693796126092791e-05
426.62500000000006,-3.1826458764299935e-15,396.37499999999994,1.168992728671452e-05
426.75000000000006,3.1796175352604454e-15,396.49999999999994,1.1686061635636244e-05
426.87500000000006,-3.176813634291539e-15,396.62499999999994,1.1682199169327357e-05
427.00000000000006,3.1740744142538247e-15,396.7499999999999,1.1678339884262283e-05
427.125,-3.1710099326657746e-15,396.8749999999999,1.167448377692052e-05
427.25,3.1686494477221847e-15,396.9999999999999,1.1670630843786648e-05
427.375,-3.16514056515142e-15,397.12499999999983,1.1666781081350243e-05
427.50000000000017,3.162991838927301e-15,397.25,1.1662934486105914e-05
427.6250000000001,-3.159591710129197e-15,397.375,1.1659091054553383e-05
427.7500000000001,3.157159602442109e-15,397.5,1.1655250783197307e-05
427.8750000000001,-3.154047197287313e-15,397.62499999999994,1.1651413668547336e-05
428.00000000000006,3.1514796038124024e-15,397.74999999999994,1.1647579707118196e-05
428.12500000000006,-3.1484099519084267e-15,397.87499999999994,1.16437488954295e-05
428.25000000000006,3.1457261166711256e-15,397.99999999999994,1.1639921230005977e-05
428.37500000000006,-3.142970875365037e-15,398.1249999999999,1.163609670737722e-05
428.5,3.1400445968521527e-15,398.2499999999999,1.1632275324077872e-05
428.625,-3.1372630184891265e-15,398.3749999999999,1.1628457076647413e-05
428.75,3.134644038279171e-15,398.49999999999983,1.1624641961630426e-05
428.87500000000017,-3.1315707689967618e-15,398.625,1.1620829975576357e-05
429.0000000000001,3.1289805921812912e-15,398.75,1.161702111503959e-05
429.1250000000001,-3.1261299520879817e-15,398.875,1.161321537657951e-05
429.2500000000001,3.1233346115417645e-15,398.99999999999994,1.1609412756760252e-05
429.37500000000006,-3.1204361763000453e-15,399.12499999999994,1.1605613252150985e-05
429.50000000000006,3.1179626339974893e-15,399.24999999999994,1.1601816859325831e-05
429.62500000000006,-3.114794002960752e-15,399.3749999999999,1.1598023574863602e-05
429.75,3.112323870763424e-15,399.4999999999999,1.1594233395348129e-05
429.875,-3.109321779631817e-15,399.6249999999999,1.1590446317368098e-05
430.0,3.1069025599359835e-15,399.7499999999999,1.1586662337516959e-05
430.12500000000017,-3.1037231206695454e-15,399.87500000000006,1.1582881452393096e-05
430.25000000000017,3.101373075138924e-15,400.0,1.1579103658599813e-05
430.3750000000001,-3.0983776271343173e-15,400.125,1.1575328952745143e-05
430.5000000000001,3.095558431187626e-15,400.25,1.1571557331441904e-05
430.6250000000001,-3.0930196970095036e-15,400.37499999999994,1.156778879130786e-05
430.75000000000006,3.089997597966274e-15,400.49999999999994,1.156402332896558e-05
430.87500000000006,-3.0876069790307975e-15,400.62499999999994,1.1560260941042363e-05
431.00000000000006,3.084430368393686e-15,400.7499999999999,1.1556501624170354e-05
431.125,-3.082046251658837e-15,400.8749999999999,1.1552745374986487e-05
431.25,3.0788499075536054e-15,400.9999999999999,1.1548992190132405e-05
431.375,-3.0767409444488925e-15,401.1249999999999,1.1545242066254615e-05
431.50000000000017,3.0733573632859323e-15,401.25000000000006,1.154149500000435e-05
431.6250000000001,-3.0716697680981993e-15,401.375,1.1537750988037687e-05
431.7500000000001,3.0676493959508754e-15,401.5,1.1534010027015234e-05
431.8750000000001,-3.066056309597001e-15,401.625,1.1530272113602502e-05
432.0000000000001,3.0623350798941803e-15,401.74999999999994,1.152653724446979e-05
432.12500000000006,-3.060699817501691e-15,401.87499999999994,1.152280541629204e-05
432.25000000000006,3.0570354208632088e-15,401.99999999999994,1.1519076625748836e-05
432.37500000000006,-3.0550333064468834e-15,402.1249999999999,1.1515350869524572e-05
432.5,3.0517826800040042e-15,402.2499999999999,1.1511628144308268e-05
432.625,-3.04920598705469e-15,402.3749999999999,1.1507908446793636e-05
432.75,3.0466715440534675e-15,402.4999999999999,1.1504191773679158e-05
432.87500000000017,-3.0438314560082263e-15,402.625,1.1500478121667929e-05
433.0000000000001,3.0411584658539453e-15,402.75,1.149676748746761e-05
433.1250000000001,-3.038580416924013e-15,402.875,1.1493059867790633e-05
433.2500000000001,3.0358063624383188e-15,403.0,1.1489355259354018e-05
433.3750000000001,-3.033305573040484e-15,403.12499999999994,1.1485653658879495e-05
433.50000000000006,3.030329246155923e-15,403.24999999999994,1.148195506309338e-05
433.62500000000006,-3.02780153347615e-15,403.37499999999994,1.147825946872668e-05
433.75000000000006,3.025121868805061e-15,403.4999999999999,1.1474566872514865e-05
433.875,-3.022537516919531e-15,403.6249999999999,1.1470877271198121e-05
434.0,3.0198335800175204e-15,403.7499999999999,1.1467190661521258e-05
434.125,-3.0170380325594243e-15,403.87499999999983,1.146350704023371e-05
434.25000000000017,3.01439145744114e-15,404.0,1.145982640408941e-05
434.3750000000001,-3.011789629621467e-15,404.125,1.1456148749846918e-05
434.5000000000001,3.009016887548126e-15,404.25,1.1452474074269348e-05
434.6250000000001,-3.00663512234486e-15,404.375,1.1448802374124393e-05
434.75000000000006,3.0037053612206507e-15,404.49999999999994,1.1445133646184302e-05
434.87500000000006,-3.0012716592796107e-15,404.62499999999994,1.1441467887225901e-05
435.00000000000006,2.998353098835128e-15,404.74999999999994,1.1437805094030472e-05
435.12500000000006,-2.9960756830634987e-15,404.8749999999999,1.1434145263383863e-05
435.25,2.993055755848237e-15,404.9999999999999,1.1430488392076471e-05
435.375,-2.9906183288189423e-15,405.1249999999999,1.142683447690317e-05
435.5,2.9880952063937214e-15,405.24999999999983,1.1423183514663363e-05
435.62500000000017,-2.9854063583190427e-15,405.375,1.141953550216093e-05
435.7500000000001,2.9826310423115056e-15,405.5,1.1415890436204222e-05
435.8750000000001,-2.980150381076594e-15,405.625,1.141224831360612e-05
436.0000000000001,2.977533524641875e-15,405.74999999999994,1.1408609131184012e-05
436.12500000000006,-2.9748087461203345e-15,405.87499999999994,1.1404972885759651e-05
436.25000000000006,2.97240331334532e-15,405.99999999999994,1.1401339574159337e-05
436.37500000000006,-2.9695640996507466e-15,406.12499999999994,1.1397709193213776e-05
436.50000000000006,2.9670795313765226e-15,406.2499999999999,1.1394081739758179e-05
436.625,-2.9643381666168374e-15,406.3749999999999,1.1390457210632121e-05
436.75,2.961962209820418e-15,406.4999999999999,1.1386835602679707e-05
436.875,-2.9591824094942353e-15,406.62499999999983,1.13832169127494e-05
437.00000000000017,2.956689704106193e-15,406.75,1.1379601137694084e-05
437.1250000000001,-2.9541728745480355e-15,406.875,1.13759882743711e-05
437.2500000000001,2.9513579112058598e-15,407.0,1.1372378319642131e-05
437.3750000000001,-2.9490192444227973e-15,407.12499999999994,1.1368771270373299e-05
437.50000000000006,2.946331051414337e-15,407.24999999999994,1.1365167123435103e-05
437.62500000000006,-2.9437925092057705e-15,407.37499999999994,1.1361565875702404e-05
437.75000000000006,2.941074085243781e-15,407.49999999999994,1.1357967524054407e-05
437.875,-2.938643105302832e-15,407.6249999999999,1.1354372065374702e-05
438.0,2.935971699145302e-15,407.7499999999999,1.135077949655128e-05
438.125,-2.9333812404904133e-15,407.8749999999999,1.1347189814476406e-05
438.25,2.9309132057908784e-15,407.99999999999983,1.1343603016046715e-05
438.37500000000017,-2.928357855769866e-15,408.125,1.1340019098163235e-05
