symbol_index,normalized_pam4_symbol,tx_center_sample_v,channel_center_sample_v
4845,3.0,0.4445601476173162,-0.06955693327906717
4871,3.0,0.4477889220544166,0.016640137218142753
4897,1.0,0.15135855721914865,0.034379209980111125
4922,-3.0,-0.4499999758800038,-0.14732789599265783
4948,-1.0,-0.15169938801857993,0.021676512737441398
4974,-1.0,-0.14677126810337732,-0.08024818893808275
4999,-1.0,-0.14847088769435696,-0.07281834208825974
5025,-1.0,-0.14643020731745537,0.05150500542101492
5050,1.0,0.15169961618340372,0.09553440848871149
5076,1.0,0.15135869380943995,0.016432909239951075
5102,-1.0,-0.15187013612637265,-0.08890768447917999
5127,3.0,0.4477888051838811,0.017624483776729403
5153,-1.0,-0.1501705199246984,-0.05672457793981146
5179,-1.0,-0.1515291719144524,-0.11972785913739353
5204,-3.0,-0.4477888774306046,-0.058608440543330115
5230,3.0,0.44812989017896,0.06453740172729402
5256,3.0,0.4481297560541705,0.05923906666345183
5281,-3.0,-0.44965889395901604,-0.11015371869402553
5307,-3.0,-0.44778866399498385,0.04456276055742013
5333,3.0,0.44795946524355557,0.07290858935756486
5358,-3.0,-0.4479594712621008,-0.06589331535848056
5384,3.0,0.4464301592161881,-0.021104217035070344
5409,-1.0,-0.15135849833050746,0.043983192133384266
5435,3.0,0.4466009530008552,0.067093264109086
5461,1.0,0.14982935443657852,-0.015136648281131267
5486,-3.0,-0.4479594394827584,-0.12217451848954453
5512,3.0,0.44830034838146904,0.025160432221100742
5538,1.0,0.14830025200953817,0.006962007901933834
5563,1.0,0.14625979763340868,-0.13310292908414242
5589,-3.0,-0.4447306300835595,-0.03260994973780895
5615,-1.0,-0.14643023078221998,-0.03561585757686178
5640,3.0,0.44625974365947496,0.08566336282332099
5666,3.0,0.4464302027166632,0.009015555545093654
5691,1.0,0.1467713350025936,0.0988330956735986
5717,3.0,0.4477887047041575,-0.012589226012653706
5743,1.0,0.15000013138286195,0.12309412814744167
5768,-3.0,-0.44778885071509733,0.009548635218033372
5794,3.0,0.4449011468443588,0.04367080119620599
5820,3.0,0.44473073278212827,0.0324852865258939
5845,3.0,0.4479594382155502,0.05476558078488834
5871,-3.0,-0.44965895690266255,-0.00936478677457337
5897,3.0,0.45000006290121075,0.14771436335545457
5922,-3.0,-0.44490146291129073,-0.15456801060602016
5948,1.0,0.1464302124073772,-0.058181359309703695
5974,1.0,0.14847096242879584,0.002134676188085851
5999,1.0,0.14795948128815856,-0.08849973403204775
6025,-3.0,-0.4462596863064813,-0.03889734453273399
6050,3.0,0.44438963504509393,-0.03736395222243181
6076,3.0,0.4466007826880716,0.09535633716515518
6102,3.0,0.4496590669483521,0.16458756715498107
6127,-3.0,-0.44982944426049154,-0.01680869069070455
6153,1.0,0.15169968410702575,0.12720358050734198
6179,1.0,0.1464304503199219,0.009814685695867062
6204,3.0,0.44456032312386085,0.06945921530309249
6230,1.0,0.14965891142885712,-0.0022154224489088553
6256,-1.0,-0.14999997179086977,-0.00361008363086353
6281,-1.0,-0.14965901618250288,0.01264229417739554
6307,3.0,0.4500000147816044,0.14276908479152078
6333,-3.0,-0.4464301536963279,0.04335204526170486
6358,1.0,0.14999981754435585,0.019756450460458437
6384,-3.0,-0.4479593089849342,-0.04332767735871926
6409,3.0,0.4447307982722475,8.923135154460422e-05
6435,-1.0,-0.1481299619485368,-0.046355025785008684
6461,-1.0,-0.15152903960567865,-0.10287253382352243
6486,1.0,0.15187026400467782,0.1332463487701802
6512,1.0,0.1462597796044824,-0.06723547332587182
6538,-1.0,-0.15187023140118672,-0.12197966958942569
6563,-1.0,-0.1513586263936834,-0.018579009864251414
6589,1.0,0.1481299355939171,0.060853086344992646
6615,-1.0,-0.14965886957387664,0.016054074304721385
6640,-3.0,-0.44965898387902103,-0.07057823564997859
6666,-3.0,-0.4464303272532793,-0.15500216289024069
6691,3.0,0.44438969881266066,-0.08719483674361608
6717,3.0,0.4447308221891586,0.013795597277400505
6743,1.0,0.14965901633766385,-0.0568485335793125
6768,3.0,0.4449011309893427,0.07902444150414634
6794,-1.0,-0.1496589232415309,-0.029559027395583304
6820,1.0,0.1467712768382451,-0.014620724062644506
6845,1.0,0.14965898430549707,-0.01829143843825468
6871,3.0,0.4445602366654131,-0.020527105971568767
6897,-1.0,-0.15135868126595997,-0.0824545677743862
6922,3.0,0.44965901881427756,0.05929484017712654
6948,3.0,0.44830035620001873,0.07951374501852009
6974,-1.0,-0.14830043570352291,-0.03997557522917725
6999,1.0,0.1515289879902471,-0.0012157752419264404
7025,1.0,0.1496589423429261,0.009710483825961364
7050,-3.0,-0.4462597973816388,0.025209240729982957
7076,3.0,0.4483003293506179,0.06578525471387159
7102,1.0,0.1467714920938547,0.04082529565029977
7127,3.0,0.4498293409213487,0.09529753433612706
7153,-1.0,-0.1479593793303075,0.05505860374413006
7179,1.0,0.15000009740358522,0.03825131407506715
7204,-3.0,-0.4447306686724072,-0.06046770852677648
7230,3.0,0.44660076763525414,0.06703541360189028
7256,-1.0,-0.14643018978046396,0.036552689107377474
7281,1.0,0.14677132955999256,0.0503418404052493
7307,-1.0,-0.15187019766211907,-0.1322055182180109
7333,1.0,0.15135841275776477,-0.01360317209718172
7358,-3.0,-0.444730749275123,-0.05788947094476177
7384,3.0,0.4449013137329345,0.01346116795936077
7409,-3.0,-0.44643041399129807,-0.11807486096171427
7435,-3.0,-0.44830037618169905,-0.07051161036947748
7461,-3.0,-0.449488288380155,0.036889343520580514
7486,-3.0,-0.4464303110150325,-0.07489250067964143
7512,3.0,0.4479592540997167,0.015559954893132291
7538,-3.0,-0.4483003559234452,-0.08298407764999577
7563,-3.0,-0.44643028355042824,-0.05562115097287517
7589,3.0,0.4445601969000159,0.00864120808339506
7615,3.0,0.44490136282389214,0.12220897770599172
7640,3.0,0.4443897097468901,-0.022295756548464024
7666,-1.0,-0.14795931907531745,0.05446556213547134
7691,1.0,0.1498294280861853,0.05598444393223588
7717,3.0,0.447788738323259,-0.036646323284404446
7743,1.0,0.1513584941988501,0.005420752308168176
7768,3.0,0.44438964677450743,0.026267721703944587
7794,-1.0,-0.14795935256061538,0.08267264226888316
7820,1.0,0.14982941649914622,0.025805750318840574
7845,1.0,0.1483005344329496,0.07414776296035579
7871,3.0,0.4466007952495672,0.12410078645822498
7897,3.0,0.4464303223175272,0.096905023345464
7922,-3.0,-0.4460892976008356,-0.03339434001082657
7948,-3.0,-0.4498296120486611,-0.18967950767175396
7974,3.0,0.44778891548462146,0.08502134479095383
7999,-3.0,-0.446259807384966,-0.12138781705904263
8025,3.0,0.4479593588205748,0.00923643098970789
8050,1.0,0.14847096374365687,0.07927708042373283
8076,3.0,0.44830056563504694,0.12653791675885084
8102,-3.0,-0.44608932513360855,0.03895530834443284
8127,-1.0,-0.14982941356887006,-0.0033524747707367308
8153,-1.0,-0.14660082974012473,0.0059432923331905144
8179,-3.0,-0.44778879289090967,-0.02223590914888929
8204,1.0,0.1515288453861811,-0.04763651696709115
8230,1.0,0.15152892911617818,0.10176434517279487
8256,-3.0,-0.4498293649988896,-0.0614606248351011
8281,-3.0,-0.44438967676861585,0.015340442375925757
8307,-1.0,-0.14625974707322595,0.09115056275406111
8333,1.0,0.15135851047785592,-0.0805219098639516
8358,1.0,0.14677128437839515,-0.016876136707246955
8384,3.0,0.44625977333456923,-0.044908751441897446
8409,3.0,0.4479594898319571,0.08392868969094293
8435,-1.0,-0.14812989618688538,0.04584224924164103
8461,-3.0,-0.44812987778539576,-0.12392695082518707
8486,-1.0,-0.14677128486841934,-0.07343639416134809
8512,3.0,0.4445600850695967,-0.0253839742423801
8538,-1.0,-0.14677145995218943,-0.020215225768909127
8563,-3.0,-0.4479594080217524,-0.010377361679654602
8589,3.0,0.4447306443655041,-0.018516571934707085
8615,-1.0,-0.15169961378079122,-0.0816250456809807
8640,-3.0,-0.4477888753002864,0.017252079259117977
